21,500,10
21,520,8
21,540,6
21,560,4
21,580,2
26,500,18
26,590,16
26,660,14
26,720,12
26,800,10
26,850,8
26,900,6
26,970,4
30,550,16
30,600,14
30,680,12
30,730,10
30,790,8
30,850,6
30,900,4
30,950,2
50,750,22
50,920,20
