21,100,30
21,250,25
21,350,20
21,440,15
21,495,10
21,550,5
26,160,25
26,415,20
26,620,15
26,795,10
26,940,5
22,50,30
22,120,25
22,195,20
22,270,15
22,360,10
22,440,5
30,85,30
30,245,25
30,400,20
30,560,15
30,730,10
30,860,5
50,400,25
50,920,20
50,1250,15
50,1500,10
50,1730,5
9,50,50
9,85,40
9,120,30
9,150,20
9,180,10
27,85,60
27,155,50
27,210,40
27,260,30
27,315,20
27,360,10
50,30,90
50,100,80
50,160,70
50,215,60
50,270,50
50,310,40
50,360,30
50,400,20
50,440,10
